Location,Class Name,Class Type,First Class Time,No dog first class,Skip Day,misc
Warren,Beginner Obedience-Level 1 - $144,OBEDIENCE & MANNERS,First class is 10:45am-12:45pm; no dogs​,,,Friday 5/5/23 at 10:45 AM with Heather Constiner 
Warren,Beginner Obedience-Level 1 - $145,OBEDIENCE & MANNERS,First class is 12pm-2pm; no dogs​,,Skip days 5/14 & 5/28​,Sunday 5/7/23 at 12:00 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $146,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Wednesday 5/17/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $147,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs​,,,Friday 5/19/23 at 7:30 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $148,OBEDIENCE & MANNERS,First class is 7:00pm-9:00pm; no dogs​​,,Skip day 7/3 ​,Wednesday 6/5/23 at 7:00 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $149,OBEDIENCE & MANNERS,First class is 5:45pm-7:45pm; no dogs​,,Skip day 7/5​,Wednesday 6/7/23 at 5:45 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $150,OBEDIENCE & MANNERS,First class is 1:15pm-3:15pm; no dogs​,,Skip days 7/2 & 7/9​,Sunday 6/11/23 at 1:15 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $151,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Wednesday 6/28/23 at 7 PM with April Courtney​​
Warren,Beginner Obedience-Level 1 - $152,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs​,,,Friday 7/7/23 at 7:30 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $153,OBEDIENCE & MANNERS,First class is 12pm-2pm; no dogs​,,,Sunday 7/16/23 at 12:00 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $154,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Monday 7/24/23 at 7 PM with April Courtney​​
Warren,Beginner Obedience-Level 1 - $155,OBEDIENCE & MANNERS,First class is 1:15pm-3:15pm; no dogs​,,Skip day 9/3​,Sunday 8/6/23 at 1:15 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $156,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​,,,Wednesday 8/9/23 at 7 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $157,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs​,,,Friday 8/18/23 at 7:30 PM with April Courtney
