Location,Class Name,Class Type,First Class Info,Skip Day,Price,Instructor Name,Start Date and Time
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,08/09/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs,,$139 ,April Courtney,08/18/2023 07:30 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 12:00pm-2:00pm; no dogs,Skip day 9/3,$139 ,Heather Huff,08/27/2023 12:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,09/11/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,09/20/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs,,$139 ,April Courtney,09/29/2023 07:30 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,10/23/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,11/01/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs,,$139 ,April Courtney,11/10/2023 07:30 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,Skip days 12/25 & 1/1,$139 ,April Courtney,12/04/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,12/13/2023 00:00 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,03/31/2023 06:15 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Heather Huff,04/05/2023 07:00 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,04/10/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,04/26/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Heather Constiner,05/12/2023 12:00 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,Skip day 5/26,$139 ,April Courtney,05/12/2023 06:15 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,06/07/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,06/30/2023 06:15 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,07/19/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,08/11/2023 06:15 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,08/30/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,09/11/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,09/22/2023 06:15 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,10/11/2023 05:45 PM
Warren,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,Skip day 11/4,$139 ,April Courtney,11/03/2023 06:15 PM
Warren,Advanced Obedience - Level 3 ,OBEDIENCE & MANNERS,,Skip day 7/5,$139 ,Heather Huff,06/14/2023 07:00 PM
Warren,Advanced Obedience - Level 3 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,07/07/2023 05:00 PM
Warren,Advanced Obedience - Level 3 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,07/24/2023 05:45 PM
Warren,Advanced Obedience - Level 3 ,OBEDIENCE & MANNERS,,,$139 ,April Courtney,10/23/2023 05:45 PM
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,,$150 ,Heather Constiner,04/28/2023 09:30 AM
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,,$150 ,Heather Constiner,05/06/2023 00:00 PM
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,Skip day 7/1,$150 ,Heather Constiner,06/24/2023 04:00 PM
Warren,Get Control! ,SPECIALTY BEHAVIOR CLASSES,,,$150 ,Heather Constiner,08/05/2023 04:00 PM
